"","BPRS","dcog8","roi","socog","proso","vilea","velea","womem","atten","speed","d","pval"
"1",-0.262644547374767,0.43690110314234,"Cerebellum-Cortex",0.413814173083918,0.043124719770989,0.0371998940797033,0.229377478483485,0.242001873648276,0.435544136419359,0.297434333504672,0.111060540196516,0.684516298646892
"2",-0.00213630462543659,0.460281130694382,"Thalamus-Proper",0.322880618518507,0.339727340880421,0.151900004634303,0.416097990104775,0.536686921658251,0.265453094694958,0.489574961122057,1.05683197201101,0.00164810165232757
"3",0.238106859413671,0.221729174268422,"Caudate",0.0667824758729916,0.0507143783918751,0.177207616033451,0.0966824817314112,0.112264321181856,0.155698639321344,0.111167095984701,0.64475451230218,0.0313455442823993
"4",0.24506464919544,0.271647214765788,"Putamen",0.0575589276862161,0.28749418133245,0.346992432705688,0.27406048259538,0.321023243248518,0.0972866577960749,0.329564714768954,0.546763334964062,0.0615608816081646
"5",-0.367214811062321,-0.00337232179482161,"Pallidum",0.224962280483726,-0.0713011519590648,0.150929346522062,-0.178976881593263,0.0735968546925888,0.194838798878897,-0.118254760249805,-0.245764301618515,0.374547791306675
"6",-0.614823277546744,-0.581972029034953,"Hippocampus",-0.576620319365734,-0.102761975297604,0.261728630352339,-0.65802579925254,-0.467112278172105,-0.446988470513705,-0.594800340371729,1.28937211430442,0.000332013881714877
"7",-0.0546699464268814,-0.112708106023143,"Amygdala",-0.0786666658591307,-0.552091296606113,0.13485666052245,0.0196823445160504,-0.317574283234608,0.104352348602255,-0.149349113651011,1.03542751375468,0.001917504192671
"8",0.0534173147944351,-0.107225888313753,"Accumbens-area",-0.139917725159412,0.263296640889663,0.0644894003905051,-0.0586210717234633,0.10971166355019,-0.127379809885584,0.0964282348734036,0.234441988445279,0.396298886266253
"9",-0.126160792971495,0.231451461998917,"VentralDC",0.203294186557517,0.00922307499960146,0.256823255643592,0.489670227362891,0.262001755117829,0.300138702585695,0.329772897932703,0.00180093009760967,0.994725834444643
"10",-0.130882812397867,0.447877543134152,"ctx-caudalanteriorcingulate",0.390020765557096,0.399415457129507,0.129343572779493,0.327469607915858,0.596885104232314,0.319460152015332,0.509701892054838,1.36465386646396,0.000201587425974409
"11",0.142865504618164,0.335740594042738,"ctx-caudalmiddlefrontal",0.339915966012163,0.0684641627695868,-0.0571769594578799,0.143828027834353,0.392360216429557,0.294960939464202,0.24196666717766,0.423067228754082,0.137442834197849
"12",-0.355398807578642,0.324585624366468,"ctx-cuneus",0.422150003217759,0.057769734004749,0.195369748918809,-0.0571362529771609,0.200490007058491,0.566948928916879,0.103435647995638,0.399890127912449,0.158466453242659
"13",0.201777674438965,0.294800769894893,"ctx-entorhinal",0.30421424116284,0.395094734442622,-0.187719067723929,0.154349644271757,0.379000144238187,0.194446536013631,0.198606357000604,0.220731488490062,0.4237583576585
"14",0.0665511607391027,0.478214305090693,"ctx-fusiform",0.486763736084692,0.178492859035227,-0.148372732420141,0.314032250824872,0.37718331692692,0.390345972957488,0.367579019159816,0.884396312919933,0.00564788272256634
"15",-0.07213800541419,0.584431970904422,"ctx-inferiorparietal",0.61980926089324,0.07381503613515,0.169959952222095,0.473632911455448,0.489395119640931,0.605632008558024,0.54605892871193,1.16841825423671,0.000755923448792393
"16",0.231503826149327,0.503710292598284,"ctx-inferiortemporal",0.51324172498258,0.224655798664918,-0.159772857108512,0.453224134197791,0.478996807891,0.35190955812669,0.468861054895561,0.724011242797998,0.0178842762685762
"17",0.225773734348139,0.309042900824723,"ctx-isthmuscingulate",0.274251855253491,0.22951858406158,-0.169557539602116,0.113695888248183,0.309059576324171,0.150259025216746,0.276963541148051,-0.18260104399192,0.506455971656513
"18",-0.284418167340515,0.649890135471238,"ctx-lateraloccipital",0.682117131155817,0.00866394736905742,0.241836035486572,0.34976123487157,0.35727996732214,0.747496355880499,0.453627761600527,0.66811678627469,0.026595597254476
"19",0.323220787813234,0.402855415057162,"ctx-lateralorbitofrontal",0.387578380305752,-0.076872507341646,-0.126491448932593,0.457525300085086,0.398936548266877,0.3577473018781,0.382029522048662,0.628709627216948,0.0350677827651608
"20",-0.237503774512642,0.604840897514739,"ctx-lingual",0.579215742733188,0.17182903303686,0.0952665308199224,0.256194544193287,0.471177439899626,0.697851797811972,0.431840180153533,0.487166620858173,0.0914044684016995
"21",0.084853957872922,0.422389505346693,"ctx-medialorbitofrontal",0.381956098697937,0.2097129843015,0.281679558932916,0.212973828838668,0.417990731887087,0.504362655686739,0.240253746072392,0.43108775686651,0.130748807634645
"22",0.20355080432646,0.377662296209807,"ctx-middletemporal",0.414430783716516,-0.13199309944313,-0.046666435767988,0.397807959777033,0.249537057305796,0.36392299007516,0.294876100711926,1.13704198646143,0.000939448505785529
"23",0.315489516432643,0.405515759359832,"ctx-parahippocampal",0.439648343798813,0.083786777470533,-0.263376132902528,0.233543138051226,0.211023739815167,0.286857167576019,0.240202805801657,0.62307361904218,0.0364726221920834
"24",0.223276188097949,0.450640642149309,"ctx-paracentral",0.423291175788814,0.164327263117111,-0.114549935772846,0.228806027441744,0.378630658888686,0.390400825948509,0.317301058276697,0.522474946600769,0.0724401992265043
"25",0.0997363178649295,0.234177088904084,"ctx-parsopercularis",0.269363236058416,-0.340233251664506,0.347776512770748,0.406722780038951,0.191651524432992,0.392411450509868,0.310299136249051,0.836067744259626,0.00799923911133412
"26",0.354491126385624,0.257861047434901,"ctx-parsorbitalis",0.283116722634565,-0.257981264475384,0.0722709794136044,0.415368808162649,0.209267096271921,0.407896371245715,0.254570607379072,0.795858330202968,0.0106848020418523
